Год счета;Площадь;Счет главной книги;Здание;Прогнозируемая сумма
2025;1.0;6763705852;Неизвестно;6324.488512117174
2025;1.0;1202385749;Неизвестно;6324.488512117174
2025;80.0;636926209;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;362732423;Неизвестно;6324.488512117174
2025;1.0;593365480;Неизвестно;6324.488512117174
2025;1.0;2961855562;Неизвестно;6324.488512117174
2025;70.5;2747330866;ЗДН 5400/1/1358;6420.873526519705
2025;1.0;3486941204;Неизвестно;6324.488512117174
2025;1.0;6281237530;Неизвестно;6324.488512117174
2025;1.0;2415974911;Неизвестно;6324.488512117174
2025;1.0;5752508199;Неизвестно;6324.488512117174
2025;1.0;565835028;Неизвестно;6324.488512117174
2025;1.0;504954025;Неизвестно;6324.488512117174
2025;1.0;4473824166;Неизвестно;6324.488512117174
2025;1.0;7344488298;Неизвестно;6324.488512117174
2025;80.0;8552366799;ЗДН 5400/1/7567;6434.04845654595
2025;80.0;1166369185;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;3481128080;Неизвестно;6324.488512117174
2025;1.0;3843432624;Неизвестно;6324.488512117174
2025;1.0;9623421924;Неизвестно;6324.488512117174
2025;293.4;1393755607;ЗДН 5400/1/891;6729.9989899776065
2025;293.4;6184647417;ЗДН 5400/1/891;6729.9989899776065
2025;1.0;8218738446;Неизвестно;6324.488512117174
2025;1.0;9654524493;Неизвестно;6324.488512117174
2025;1.0;2052495130;Неизвестно;6324.488512117174
2025;1.0;5620670005;Неизвестно;6324.488512117174
2025;1.0;6239809356;Неизвестно;6324.488512117174
2025;1.0;5992235365;Неизвестно;6324.488512117174
2025;1.0;5291469948;Неизвестно;6324.488512117174
2025;1.0;6894748491;Неизвестно;6324.488512117174
2025;1.0;2126462303;Неизвестно;6324.488512117174
2025;1.0;9556133568;Неизвестно;6324.488512117174
2025;1.0;7402311948;Неизвестно;6324.488512117174
2025;1.0;600855478;Неизвестно;6324.488512117174
2025;1.0;9934323248;Неизвестно;6324.488512117174
2025;1.0;8306465562;Неизвестно;6324.488512117174
2025;1.0;8341217292;Неизвестно;6324.488512117174
2025;1.0;4660809380;Неизвестно;6324.488512117174
2025;1.0;9867817343;Неизвестно;6324.488512117174
2025;1.0;99569260;Неизвестно;6324.488512117174
2025;1.0;65171222;Неизвестно;6324.488512117174
2025;1.0;39521530;Неизвестно;6324.488512117174
2025;1.0;3673435381;Неизвестно;6324.488512117174
2025;1.0;7888647077;Неизвестно;6324.488512117174
2025;1.0;1620384409;Неизвестно;6324.488512117174
2025;1.0;8781826651;Неизвестно;6324.488512117174
2025;1.0;793646807;Неизвестно;6324.488512117174
2025;1.0;1663495135;Неизвестно;6324.488512117174
2025;1.0;2557858763;Неизвестно;6324.488512117174
2025;1.0;8140095091;Неизвестно;6324.488512117174
2025;1.0;5033284414;Неизвестно;6324.488512117174
2025;80.0;8260937918;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;2675447428;Неизвестно;6324.488512117174
2025;196.3;4069412849;ЗДН 5400/1/494;6595.337336761984
2025;1.0;5965064076;Неизвестно;6324.488512117174
2025;1.0;833094657;Неизвестно;6324.488512117174
2025;1.0;6131540936;Неизвестно;6324.488512117174
2025;1.0;2173369861;Неизвестно;6324.488512117174
2025;1.0;2131600657;Неизвестно;6324.488512117174
2025;1.0;4808687181;Неизвестно;6324.488512117174
2025;1.0;4097216789;Неизвестно;6324.488512117174
2025;1.0;51605526;Неизвестно;6324.488512117174
2025;1.0;9767022549;Неизвестно;6324.488512117174
2025;1.0;6023800185;Неизвестно;6324.488512117174
2025;1.0;2826352041;Неизвестно;6324.488512117174
2025;1754.9;5658363895;ЗДН 5400/1/7335;8756.857961909967
2025;1073.7;8217799506;ЗДН 5400/1/7335;7812.146137291204
2025;1.0;2701120665;Неизвестно;6324.488512117174
2025;1.0;5348078884;Неизвестно;6324.488512117174
2025;44.0;5960441652;ЗДН 5400/1/3169;6384.122405920179
2025;41.6;9263169274;ЗДН 5400/1/3169;6380.794002545127
2025;1.0;2051466779;Неизвестно;6324.488512117174
2025;1.0;2857644015;Неизвестно;6324.488512117174
2025;1.0;1923817548;Неизвестно;6324.488512117174
2025;1.0;4555901920;Неизвестно;6324.488512117174
2025;1.0;5537732723;Неизвестно;6324.488512117174
2025;1.0;9949128173;Неизвестно;6324.488512117174
2025;1.0;3267029447;Неизвестно;6324.488512117174
2025;1.0;732852274;Неизвестно;6324.488512117174
2025;1.0;5567395766;Неизвестно;6324.488512117174
2025;227.5;6325632107;ЗДН 5400/1/213;6638.606580637653
2025;227.5;4958754474;ЗДН 5400/1/213;6638.606580637653
2025;227.5;8473510440;ЗДН 5400/1/213;6638.606580637653
2025;227.5;775981178;ЗДН 5400/1/213;6638.606580637653
2025;1.0;4015063418;Неизвестно;6324.488512117174
2025;1.0;9966303549;Неизвестно;6324.488512117174
2025;1.0;9760002428;Неизвестно;6324.488512117174
2025;1.0;5301682418;Неизвестно;6324.488512117174
2025;1.0;655959903;Неизвестно;6324.488512117174
2025;1.0;860668535;Неизвестно;6324.488512117174
2025;1.0;1324096166;Неизвестно;6324.488512117174
2025;1.0;3660621343;Неизвестно;6324.488512117174
2025;1.0;8758899940;Неизвестно;6324.488512117174
2025;1.0;620384353;Неизвестно;6324.488512117174
2025;1.0;7774311853;Неизвестно;6324.488512117174
2025;1.0;8581961804;Неизвестно;6324.488512117174
2025;1.0;651147361;Неизвестно;6324.488512117174
2025;1.0;3099680393;Неизвестно;6324.488512117174
2025;1.0;1834186778;Неизвестно;6324.488512117174
2025;1.0;7406949547;Неизвестно;6324.488512117174
2025;1.0;7468187847;Неизвестно;6324.488512117174
2025;1.0;4478030956;Неизвестно;6324.488512117174
2025;1.0;1705753389;Неизвестно;6324.488512117174
2025;1.0;439833295;Неизвестно;6324.488512117174
2025;1.0;7105087243;Неизвестно;6324.488512117174
2025;1.0;1422127153;Неизвестно;6324.488512117174
2025;1.0;5310659758;Неизвестно;6324.488512117174
2025;1.0;9196593082;Неизвестно;6324.488512117174
2025;32.7;6955906362;ЗДН 5400/1/480;6368.451173362645
2025;1.0;8610451903;Неизвестно;6324.488512117174
2025;1.0;5094688375;Неизвестно;6324.488512117174
2025;1.0;6159111242;Неизвестно;6324.488512117174
2025;1.0;2132802246;Неизвестно;6324.488512117174
2025;339.2;9333263619;ЗДН 5400/1/1085;6793.516021051505
2025;339.2;9409615005;ЗДН 5400/1/1085;6793.516021051505
2025;232.8;2837708072;ЗДН 5400/1/1085;6645.956804757558
2025;232.8;9929691330;ЗДН 5400/1/1085;6645.956804757558
2025;1.0;4003655031;Неизвестно;6324.488512117174
2025;1.0;8032606016;Неизвестно;6324.488512117174
2025;5150.58;8560628909;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;7821984768;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;9016986198;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;6354487937;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;9633958102;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;335015892;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;6776402816;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;8143509888;ЗДН 5400/1/1432;13466.10495049107
2025;841.99;2027055321;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;3468262110;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;8493764719;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;6157817558;ЗДН 5400/1/2003;7490.802659777383
2025;800.3;8506515219;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;895701038;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;4301760039;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;6708737775;ЗДН 5400/1/2003;7432.985519483261
2025;221.1;4238424515;ЗДН 5400/1/6359;6629.730838304182
2025;1117.5;9469045327;ЗДН 5400/1/6863;7872.889498885892
2025;1117.5;3364110634;ЗДН 5400/1/6863;7872.889498885892
2025;2622.4;379551526;ЗДН 5400/1/7420;9959.9370985171
2025;2622.4;4183891815;ЗДН 5400/1/7420;9959.9370985171
2025;2622.4;6139398219;ЗДН 5400/1/7420;9959.9370985171
2025;2605.2;183970639;ЗДН 5400/1/7420;9936.083540995898
2025;2605.2;1897984265;ЗДН 5400/1/7420;9936.083540995898
2025;2605.2;2369654639;ЗДН 5400/1/7420;9936.083540995898
2025;2369.4;3318659449;ЗДН 5400/1/7420;9609.067909397094
2025;2369.4;3602183750;ЗДН 5400/1/7420;9609.067909397094
2025;2369.4;1304200540;ЗДН 5400/1/7420;9609.067909397094
2025;1481.4;1573509257;ЗДН 5400/1/7420;8377.558660628065
2025;1481.4;5036041057;ЗДН 5400/1/7420;8377.558660628065
2025;1481.4;1649779475;ЗДН 5400/1/7420;8377.558660628065
2025;811.4;1589121004;ЗДН 5400/1/7420;7448.379385092874
2025;811.4;9372975740;ЗДН 5400/1/7420;7448.379385092874
2025;811.4;300248047;ЗДН 5400/1/7420;7448.379385092874
2025;1.0;6703779139;Неизвестно;6324.488512117174
2025;1.0;438455869;Неизвестно;6324.488512117174
2025;1.0;4897024142;Неизвестно;6324.488512117174
2025;1.0;6617374482;Неизвестно;6324.488512117174
2025;1.0;448579665;Неизвестно;6324.488512117174
2025;1.0;9124139637;Неизвестно;6324.488512117174
2025;1.0;1954544763;Неизвестно;6324.488512117174
2025;1.0;6125173393;Неизвестно;6324.488512117174
2025;1.0;1061018451;Неизвестно;6324.488512117174
2025;1.0;8013466845;Неизвестно;6324.488512117174
2025;1.0;5344267011;Неизвестно;6324.488512117174
2025;1.0;9192500831;Неизвестно;6324.488512117174
2025;1.0;2489097421;Неизвестно;6324.488512117174
2025;1.0;638876382;Неизвестно;6324.488512117174
2025;1.0;7383499021;Неизвестно;6324.488512117174
2025;1.0;4807997368;Неизвестно;6324.488512117174
2025;395.0;1061478149;ЗДН 5400/1/6217;6870.901399521451
2025;50.97;8597255960;ЗДН 5400/1/2766;6393.788644055224
2025;1117.5;4092654913;ЗДН 5400/1/6863;7872.889498885892
2025;1117.5;7581020916;ЗДН 5400/1/6863;7872.889498885892
2025;27.51;9130432154;ЗДН 5400/1/7031;6361.253501064096
2025;1.0;671902976;Неизвестно;6324.488512117174
2025;1.0;9807093920;Неизвестно;6324.488512117174
2025;1.0;6139387859;Неизвестно;6324.488512117174
2025;1.0;5253408830;Неизвестно;6324.488512117174
2025;1.0;5603513299;Неизвестно;6324.488512117174
2025;1.0;9755457105;Неизвестно;6324.488512117174
2025;1.0;6636660909;Неизвестно;6324.488512117174
2025;1.0;2018207892;Неизвестно;6324.488512117174
2025;1.0;6848478529;Неизвестно;6324.488512117174
2025;1.0;8482029150;Неизвестно;6324.488512117174
2025;1261.0;3216175361;ЗДН 5400/1/6752;8071.900284019175
2025;1260.88;4418272286;ЗДН 5400/1/6752;8071.7338638504225
2025;1.0;9608734310;Неизвестно;6324.488512117174
2025;1.0;1781060484;Неизвестно;6324.488512117174
2025;1.0;4986073588;Неизвестно;6324.488512117174
2025;1.0;7135855648;Неизвестно;6324.488512117174
2025;1.0;7702064771;Неизвестно;6324.488512117174
2025;1.0;827115793;Неизвестно;6324.488512117174
2025;1.0;7873893048;Неизвестно;6324.488512117174
2025;1.0;3748212822;Неизвестно;6324.488512117174
2025;656.6;4992357585;ЗДН 5400/1/7535;7233.697367402056
2025;1.0;9957150531;Неизвестно;6324.488512117174
2025;1.0;4981492789;Неизвестно;6324.488512117174
2025;1.0;851025443;Неизвестно;6324.488512117174
2025;249.3;4555198553;ЗДН 5400/1/6764;6668.839577961036
2025;16.73;168728411;ЗДН 5400/1/7163;6346.303422571157
2025;48.9;1530953246;ЗДН 5400/1/551;6390.917896144242
2025;48.9;1703263055;ЗДН 5400/1/551;6390.917896144242
2025;48.9;9201723233;ЗДН 5400/1/551;6390.917896144242
2025;48.9;1404687855;ЗДН 5400/1/551;6390.917896144242
2025;48.9;5810710718;ЗДН 5400/1/551;6390.917896144242
2025;48.9;9424314021;ЗДН 5400/1/551;6390.917896144242
2025;48.9;3048594483;ЗДН 5400/1/551;6390.917896144242
2025;48.9;2833562007;ЗДН 5400/1/551;6390.917896144242
2025;1.0;9064559752;Неизвестно;6324.488512117174
2025;1.0;3648634211;Неизвестно;6324.488512117174
2025;1.0;7784046248;Неизвестно;6324.488512117174
2025;1.0;5949014026;Неизвестно;6324.488512117174
2025;1.0;5356659775;Неизвестно;6324.488512117174
2025;1.0;3282536249;Неизвестно;6324.488512117174
2025;1.0;2207574772;Неизвестно;6324.488512117174
2025;1.0;8158966745;Неизвестно;6324.488512117174
2025;1.0;9249203343;Неизвестно;6324.488512117174
2025;656.6;9018164071;ЗДН 5400/1/7535;7233.697367402056
2025;1.0;7202433608;Неизвестно;6324.488512117174
2025;1.0;6302706267;Неизвестно;6324.488512117174
2025;1.0;7892718440;Неизвестно;6324.488512117174
2025;1.0;150135903;Неизвестно;6324.488512117174
2025;1.0;2303189434;Неизвестно;6324.488512117174
2025;1.0;1311076185;Неизвестно;6324.488512117174
2025;1.0;7549729216;Неизвестно;6324.488512117174
2025;1.0;6075025271;Неизвестно;6324.488512117174
2025;1.0;2151385410;Неизвестно;6324.488512117174
2025;1.0;3709212957;Неизвестно;6324.488512117174
2025;5150.58;985922914;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;2493635360;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;1385760527;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;9778338959;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;904625712;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;9071269778;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;8849689437;ЗДН 5400/1/1432;13466.10495049107
2025;5150.58;5599735048;ЗДН 5400/1/1432;13466.10495049107
2025;841.99;9562449265;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;5490255689;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;3165516787;ЗДН 5400/1/2003;7490.802659777383
2025;841.99;5892452552;ЗДН 5400/1/2003;7490.802659777383
2025;800.3;5682460388;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;2049076301;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;4424023706;ЗДН 5400/1/2003;7432.985519483261
2025;800.3;8188568039;ЗДН 5400/1/2003;7432.985519483261
2025;221.1;2704015182;ЗДН 5400/1/6359;6629.730838304182
2025;1117.5;4610533271;ЗДН 5400/1/6863;7872.889498885892
2025;1117.5;75420113;ЗДН 5400/1/6863;7872.889498885892
2025;2622.4;5444443182;ЗДН 5400/1/7420;9959.9370985171
2025;2622.4;6267168740;ЗДН 5400/1/7420;9959.9370985171
2025;2622.4;1255969860;ЗДН 5400/1/7420;9959.9370985171
2025;2605.2;7003722204;ЗДН 5400/1/7420;9936.083540995898
2025;2605.2;808409063;ЗДН 5400/1/7420;9936.083540995898
2025;2605.2;8751313242;ЗДН 5400/1/7420;9936.083540995898
2025;2369.4;7896943095;ЗДН 5400/1/7420;9609.067909397094
2025;2369.4;9023900104;ЗДН 5400/1/7420;9609.067909397094
2025;2369.4;82627095;ЗДН 5400/1/7420;9609.067909397094
2025;1481.4;3237912078;ЗДН 5400/1/7420;8377.558660628065
2025;1481.4;7042252367;ЗДН 5400/1/7420;8377.558660628065
2025;1481.4;9184462637;ЗДН 5400/1/7420;8377.558660628065
2025;811.4;8091787728;ЗДН 5400/1/7420;7448.379385092874
2025;811.4;1898881414;ЗДН 5400/1/7420;7448.379385092874
2025;811.4;9755834326;ЗДН 5400/1/7420;7448.379385092874
2025;1.0;7254653362;Неизвестно;6324.488512117174
2025;1.0;8099589191;Неизвестно;6324.488512117174
2025;1261.0;352088057;ЗДН 5400/1/6752;8071.900284019175
2025;1260.88;8838532097;ЗДН 5400/1/6752;8071.7338638504225
2025;656.6;1209331805;ЗДН 5400/1/7535;7233.697367402056
2025;1.0;1777083352;Неизвестно;6324.488512117174
2025;1.0;4615888684;Неизвестно;6324.488512117174
2025;1.0;6624817870;Неизвестно;6324.488512117174
2025;1.0;1812044847;Неизвестно;6324.488512117174
2025;1.0;1573525732;Неизвестно;6324.488512117174
2025;1.0;9739626561;Неизвестно;6324.488512117174
2025;1.0;4867360831;Неизвестно;6324.488512117174
2025;1.0;6234390977;Неизвестно;6324.488512117174
2025;1.0;2369266040;Неизвестно;6324.488512117174
2025;1.0;3500944648;Неизвестно;6324.488512117174
2025;1.0;5223018947;Неизвестно;6324.488512117174
2025;1.0;1139042328;Неизвестно;6324.488512117174
2025;1.0;854720017;Неизвестно;6324.488512117174
2025;1.0;2537571099;Неизвестно;6324.488512117174
2025;1.0;346685256;Неизвестно;6324.488512117174
2025;1.0;9743866367;Неизвестно;6324.488512117174
2025;1.0;9746484606;Неизвестно;6324.488512117174
2025;1.0;7208364285;Неизвестно;6324.488512117174
2025;1.0;1224130277;Неизвестно;6324.488512117174
2025;1.0;7708395574;Неизвестно;6324.488512117174
2025;1.0;4703378368;Неизвестно;6324.488512117174
2025;1.0;3262872512;Неизвестно;6324.488512117174
2025;1.0;4585764329;Неизвестно;6324.488512117174
2025;1.0;8003798397;Неизвестно;6324.488512117174
2025;1.0;1302097247;Неизвестно;6324.488512117174
2025;1.0;122921987;Неизвестно;6324.488512117174
2025;1.0;2712063923;Неизвестно;6324.488512117174
2025;1.0;6111909323;Неизвестно;6324.488512117174
2025;1.0;5193582278;Неизвестно;6324.488512117174
2025;1.0;8686165444;Неизвестно;6324.488512117174
2025;1.0;6594813012;Неизвестно;6324.488512117174
2025;1.0;3621211737;Неизвестно;6324.488512117174
2025;1.0;619706216;Неизвестно;6324.488512117174
2025;1.0;2260700590;ЗДН 5400/1/5062;6324.488512117174
2025;1.0;6099182030;ЗДН 5400/1/5064;6324.488512117174
2025;1.0;129711090;ЗДН 5400/1/5065;6324.488512117174
2025;4.0;5976249168;ЗДН 5400/1/5070;6328.649016335989
2025;1.0;1823496175;ЗДН 5400/1/5070;6324.488512117174
2025;1.0;7528514236;ЗДН 5400/1/5071;6324.488512117174
2025;1.0;7761723943;ЗДН 5400/1/5072;6324.488512117174
2025;1.0;3367016539;ЗДН 5400/1/5085;6324.488512117174
2025;1.0;3952329828;ЗДН 5400/1/5099;6324.488512117174
2025;1.0;6652201286;ЗДН 5400/1/5105;6324.488512117174
2025;1.0;4426524542;ЗДН 5400/1/5110;6324.488512117174
2025;1.0;2362959129;ЗДН 5400/1/6888;6324.488512117174
2025;1.0;9020851665;ЗДН 5400/1/6889;6324.488512117174
2025;1.0;7775517591;ЗДН 5400/1/6890;6324.488512117174
2025;1.0;9559423254;ЗДН 5400/1/6891;6324.488512117174
2025;1.0;117112299;ЗДН 5400/1/6892;6324.488512117174
2025;1.0;4412952192;ЗДН 5400/1/6893;6324.488512117174
2025;1.0;7424673167;ЗДН 5400/1/6894;6324.488512117174
2025;1.0;208358119;ЗДН 5400/1/6895;6324.488512117174
2025;1.0;4062621630;ЗДН 5400/1/6896;6324.488512117174
2025;1.0;2659321446;ЗДН 5400/1/6897;6324.488512117174
2025;1.0;3950111345;ЗДН 5400/1/6898;6324.488512117174
2025;1.0;6887599450;ЗДН 5400/1/6899;6324.488512117174
2025;1.0;4279310987;ЗДН 5400/1/6900;6324.488512117174
2025;1.0;1955075198;ЗДН 5400/1/6901;6324.488512117174
2025;1.0;6112446702;ЗДН 5400/1/6902;6324.488512117174
2025;1.0;1002764399;ЗДН 5400/1/6903;6324.488512117174
2025;1.0;7081745833;ЗДН 5400/1/6904;6324.488512117174
2025;1.0;8661520800;ЗДН 5400/1/6905;6324.488512117174
2025;1.0;7748849762;ЗДН 5400/1/6906;6324.488512117174
2025;1.0;2407431552;ЗДН 5400/1/6907;6324.488512117174
2025;1.0;1879020096;ЗДН 5400/1/6908;6324.488512117174
2025;1.0;5784948243;ЗДН 5400/1/6909;6324.488512117174
2025;1.0;2523442079;ЗДН 5400/1/6910;6324.488512117174
2025;1.0;708660990;ЗДН 5400/1/6911;6324.488512117174
